id,bairro,taxa
1,Cajuru,15
2,3 Marias,15
3,Portal,7
4,Penha de França,5
5,Jardim Europa,5
6,Alpes 1 e 2,6
7,Vila Vivenda,5
8,Jardim União,5
9,Vila Martins,5
10,Condomínio City Castelo,15
11,Portaria Condomínio City Castelo,7
12,Condomínio Village Castelo,15
13,Portaria Condomínio Village Castelo,7
14,Novo Mundo,4
15,Cidade Nova,4
16,Armonia 1,15
17,Armonia 2,15
18,Quinta das Laranjeiras,15
19,Curumim,15
20,"Vila da Paz (1,2 e 3)",7
21,Chácaras Carolinas,15
22,Maeda,20
23,Estrada do Maeda,12
24,Empresa Aisin,15
25,Motel Mediterrâneo,15
26,Motel Minuti,4
27,Empresa Trans Bacine,7
28,Empresa Pantera,7
29,Empresa Master Cargas,7
30,Chácaras Santo Inácio,4
31,Empresa TEC Brasil,7
32,Empresa Tele Brasil,7
33,TEA Pré Fabricados,7
34,Cidade nova I,4
35,Uniao,5
